"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Spring","MATH","4446","Intro to Numer Analysis","Adjerid","3.33","42.9","14.3","14.3","14.3","0","0","0","0","14.3","0","0","0","1","7","16500","  3"
"2022-23","Spring","MATH","4446","Intro to Numer Analysis","Yue","2.13","8.3","25","0","8.3","8.3","0","8.3","8.3","0","8.3","0","25","1","12","17393","  3"
"2020-21","Spring","MATH","4446","Intro to Numer Analysis","Adjerid","2.73","17.4","17.4","21.7","4.3","4.3","4.3","4.3","8.7","4.3","0","4.3","8.7","1","23","17037","  3"
"2018-19","Spring","MATH","4446","Intro to Numer Analysis","Yue","2.75","13.8","13.8","3.4","17.2","20.7","10.3","3.4","3.4","10.3","0","0","3.4","3","29","16075","  3"
"2021-22","Spring","MATH","4446","Intro to Numer Analysis","Iliescu","3","30","13.3","0","26.7","6.7","13.3","0","0","0","0","3.3","6.7","0","30","17176","  3"
