"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2020-21","Spring","CEE","3814","Analytics in CEE","Gallagher","3.71","85.7","0","0","0","0","0","14.3","0","0","0","0","0","0","7","20402","  3"
"2022-23","Fall","CEE","3814","Analytics in CEE","Liao","3.22","7.7","30.8","7.7","38.5","7.7","0","7.7","0","0","0","0","0","0","13","90805","  3"
"2021-22","Fall","CEE","3814","Analytics in CEE","Gallagher","3.25","48.5","12.1","6.1","6.1","6.1","6.1","6.1","0","0","3","3","3","2","33","91024","  3"
"2022-23","Spring","CEE","3814","Analytics in CEE","Munoz Pauta","2.76","5.3","21.1","7.9","10.5","10.5","23.7","15.8","0","2.6","0","2.6","0","0","38","21068","  3"
"2021-22","Spring","CEE","3814","Analytics in CEE","Gallagher","3.4","58.5","5.7","5.7","11.3","1.9","3.8","5.7","1.9","0","1.9","3.8","0","1","53","12135","  3"
"2022-23","Spring","CEE","3814","Analytics in CEE","Gallagher","2.65","17","9.4","7.5","13.2","11.3","7.5","11.3","9.4","1.9","7.5","1.9","1.9","6","53","12287","  3"
"2022-23","Fall","CEE","3814","Analytics in CEE","Munoz Pauta","2.91","14","15.8","22.8","15.8","5.3","7","7","1.8","1.8","1.8","3.5","3.5","2","57","90804","  3"
"2022-23","Fall","CEE","3814","Analytics in CEE","Gallagher","3.21","31.8","16.7","10.6","10.6","10.6","6.1","7.6","1.5","0","4.5","0","0","2","66","82220","  3"
