"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2021-22","Fall","ECON","4614","R Programming in Economics","Breuer","3.33","44.4","0","0","33.3","11.1","11.1","0","0","0","0","0","0","0","9","92084","  3"
"2020-21","Spring","ECON","4614","R Programming in Economics","Breuer","3.51","50","25","6.3","6.3","0","6.3","0","0","0","0","6.3","0","2","16","21438","  3"
"2022-23","Fall","ECON","4614","R Programming in Economics","Breuer","3.52","47.4","15.8","5.3","15.8","10.5","0","5.3","0","0","0","0","0","1","19","84350","  3"
"2021-22","Spring","ECON","4614","R Programming in Economics","Breuer","3.48","40","20","10","20","0","5","5","0","0","0","0","0","2","20","14400","  3"
"2022-23","Spring","ECON","4614","R Programming in Economics","Breuer","3.44","47.8","17.4","0","21.7","8.7","0","0","0","0","0","0","4.3","0","23","14559","  3"
