"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2018-19","Spring","AFST","2354","The Civil Rights Movement","Agozino","2.95","33.3","16.7","0","33.3","0","0","0","0","0","0","0","16.7","0","6","19246","  3"
"2019-20","Spring","AFST","2354","The Civil Rights Movement","Agozino","3.22","50","0","0","33.3","0","0","0","0","16.7","0","0","0","0","6","10232","  3"
"2021-22","Spring","AFST","2354","The Civil Rights Movement","Agozino","2.84","15.4","0","30.8","30.8","0","0","0","7.7","0","15.4","0","0","2","13","20642","  3"
